# hostname;interval;timestamp;pswpin;pswpout
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:30:03;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:40:03;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 13:50:04;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:00:04;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:10:05;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:20:06;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:30:06;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:40:07;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 14:50:07;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:00:08;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:10:09;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:20:09;0.0;0.0
pablolaptop.pegaso.lan;591;2024-05-14 15:30:00;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:40:00;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 15:50:01;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:00:02;0.0;0.0
pablolaptop.pegaso.lan;599;2024-05-14 16:10:01;0.0;0.0
pablolaptop.pegaso.lan;602;2024-05-14 16:20:03;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:30:04;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:40:04;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 16:50:05;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:00:05;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:10:06;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:20:07;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:30:07;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:40:08;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 17:50:08;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 18:00:09;0.0;0.0
pablolaptop.pegaso.lan;591;2024-05-14 18:10:00;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 18:20:00;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 18:30:01;0.0;0.0
pablolaptop.pegaso.lan;601;2024-05-14 18:40:01;0.0;0.0
pablolaptop.pegaso.lan;556;2024-05-14 19:00:03;0.0;0.0
pablolaptop.pegaso.lan;597;2024-05-14 19:10:00;0.0;0.0
pablolaptop.pegaso.lan;649;2024-05-14 19:20:49;0.0;0.0
pablolaptop.pegaso.lan;600;2024-05-14 19:30:49;0.0;0.0
pablolaptop.pegaso.lan;600;2024-05-14 19:40:49;0.0;0.0
pablolaptop.pegaso.lan;600;2024-05-14 19:50:49;0.0;0.0
