# hostname;interval;timestamp;pgpgin;pgpgout;fault;majflt;pgfree;pgscank;pgscand;pgsteal;pgprom;pgdem
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;0.0;399.41;1372.0;0.0;1880.65;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;0.0;391.55;1023.13;0.01;1459.97;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;0.0;219.34;732.52;0.0;922.07;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;0.0;268.44;680.65;0.0;858.75;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;0.01;355.67;1566.98;0.0;4774.25;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;0.75;595.22;3484.95;0.0;5455.88;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:00:07;0.35;483.85;2003.14;0.0;3637.35;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:10:08;36.52;326.11;1573.58;0.18;2340.56;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:20:09;0.0;462.89;1407.42;0.0;2569.64;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:30:09;2.09;937.79;1753.29;0.02;3575.21;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;591;2024-06-08 15:40:00;0.0;507.16;1204.18;0.0;2164.26;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 15:50:00;0.1;587.22;2245.85;0.0;3443.52;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;608;2024-06-08 16:10:09;210.9;447.3;3365.71;0.44;5745.09;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 16:20:09;25.95;329.16;869.22;0.02;1950.28;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;591;2024-06-08 16:30:00;1.86;390.11;1585.75;0.0;2596.49;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 16:40:01;14.71;331.42;1104.03;0.08;2194.85;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 16:50:01;153.87;256.74;1241.89;0.22;2164.39;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:00:02;4.44;285.73;1813.37;0.04;2951.93;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:10:02;1.63;220.45;970.78;0.0;1654.67;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:20:03;0.07;182.96;450.99;0.0;881.72;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:30:04;2.04;238.69;520.33;0.02;3590.34;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:40:04;0.25;212.24;978.49;0.0;1684.58;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 17:50:05;72.28;219.04;522.68;0.0;1042.09;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:00:06;9.21;254.54;829.69;0.0;1208.53;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:10:06;3.35;194.1;558.89;0.03;3646.5;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:20:07;134.7;215.53;644.48;1.22;1280.25;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:30:07;0.0;251.85;613.79;0.0;2268.67;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:40:08;0.42;190.23;540.54;0.0;851.05;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 18:50:09;0.0;220.2;541.47;0.0;2302.94;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:00:09;0.43;247.66;608.39;0.0;1025.39;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;591;2024-06-08 19:10:00;26.37;233.45;1135.82;0.18;2514.75;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:20:01;0.77;245.51;1708.54;0.0;4728.17;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:30:01;0.09;246.49;425.23;0.0;984.21;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:40:02;0.07;179.87;376.63;0.0;1949.29;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 19:50:02;1.33;189.85;678.09;0.0;2425.67;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:00:03;2.13;283.08;1041.99;0.0;1900.07;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:10:04;5.92;4616.1;2037.26;0.01;5689.05;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:20:04;0.07;178.68;648.24;0.0;2213.05;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:30:05;6.77;4412.72;488.7;0.0;2183.96;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:40:06;1.84;234.97;916.2;0.0;2525.72;0.0;0.0;0.0;0.0;0.0
pablolaptop.pegaso.lan;601;2024-06-08 20:50:06;0.0;171.76;446.06;0.0;1954.06;0.0;0.0;0.0;0.0;0.0
